biometric_verified,amount,foreign,fraud_label
1,8616,1,1
1,9788,1,1
1,2060,1,0
1,155,0,0
1,4173,0,0
1,8369,1,1
0,7866,1,1
1,5405,0,0
0,6369,0,0
1,2341,0,0
0,274,0,0
1,9606,1,1
1,1467,0,0
1,5949,0,0
1,7475,1,1
1,771,0,0
1,6326,0,0
1,982,1,0
1,9457,1,1
0,8642,0,1
1,7913,1,1
1,9036,0,1
1,9829,1,1
1,4891,1,0
1,9558,1,1
1,2599,0,0
1,4736,0,0
1,8959,1,1
1,8221,1,1
1,4331,0,0
1,5616,0,0
1,659,0,0
0,3163,1,0
1,1164,0,0
1,3327,0,0
1,8796,1,1
1,3346,0,0
1,5212,0,0
0,9397,1,1
1,7964,1,1
1,9237,1,1
1,9833,1,1
0,9090,0,1
1,7768,1,1
1,2938,0,0
1,6930,0,0
0,4681,1,0
1,6913,0,0
1,259,0,0
0,1982,0,0
1,4931,0,0
1,8617,0,1
1,8435,1,1
0,9621,1,1
0,8418,1,1
1,8606,1,1
1,1865,1,0
0,7770,1,1
1,3159,0,0
0,1617,0,0
1,701,0,0
0,7811,1,1
0,8636,1,1
1,2637,0,0
1,7461,1,1
1,9297,1,1
1,8242,1,1
1,3193,0,0
1,1980,0,0
1,4458,0,0
1,5313,0,0
1,8338,1,1
0,7065,0,1
1,8174,1,1
1,7663,1,1
1,233,1,0
1,7269,1,1
1,9826,1,1
1,782,0,0
1,5582,0,0
1,3880,0,0
1,7500,1,1
0,9808,0,1
1,6204,0,0
0,7816,1,1
0,8114,0,1
1,4518,0,0
1,7495,1,1
1,2605,0,0
1,643,0,0
1,599,0,0
1,8952,1,1
0,7621,1,1
1,129,1,0
1,7328,1,1
1,1408,1,0
1,6005,0,0
1,9953,1,1
0,5481,0,0
1,9009,1,1
1,2136,1,0
0,7073,1,1
1,1650,1,0
0,7219,0,1
1,7873,1,1
0,946,1,0
1,8586,0,1
1,148,0,0
1,3047,0,0
1,7974,1,1
1,748,0,0
1,6601,1,0
1,8203,1,1
1,8445,1,1
1,1942,0,0
0,7392,1,1
0,6454,0,0
1,7440,1,1
1,8066,1,1
1,8836,1,1
1,5019,0,0
1,8121,1,1
1,986,0,0
1,7634,1,1
1,4320,0,0
1,4080,0,0
1,6439,0,0
1,8048,1,1
1,1789,1,0
1,8963,1,1
0,8255,1,1
1,4420,0,0
0,7423,1,1
1,441,0,0
1,6488,0,0
1,7886,1,1
1,4554,0,0
1,4157,0,0
0,3615,0,0
0,7221,1,1
1,3639,0,0
1,7202,1,1
1,8049,1,1
0,7835,1,1
1,129,1,0
1,8155,1,1
1,2933,0,0
1,5735,0,0
0,7281,0,1
0,9114,1,1
1,5231,0,0
1,2250,0,0
0,9646,0,1
1,1519,0,0
1,4468,0,0
0,7006,0,1
0,8157,1,1
0,3003,0,0
1,7745,1,1
0,7311,1,1
1,872,1,0
1,5124,1,0
1,3658,0,0
0,7113,1,1
0,9929,1,1
1,8973,1,1
1,2021,0,0
0,9830,1,1
0,7003,1,1
1,2833,0,0
1,7221,0,1
1,9821,1,1
1,4076,0,0
1,6461,0,0
1,7325,1,1
0,5605,1,0
1,1483,0,0
1,5687,0,0
1,9145,1,1
1,3624,0,0
1,9397,1,1
1,2971,0,0
1,2274,0,0
1,8356,1,1
1,3767,0,0
1,2559,0,0
0,5167,1,0
1,4143,0,0
1,6249,0,0
0,7118,1,1
1,8084,1,1
1,1001,0,0
1,8997,1,1
1,7319,0,1
1,7952,1,1
1,3723,0,0
1,5082,0,0
1,8267,1,1
1,925,0,0
1,9197,1,1
1,4131,1,0
0,8451,0,1
1,8863,1,1
0,8937,1,1
1,7616,1,1
0,7704,1,1
1,3721,0,0
0,9311,1,1
1,7374,1,1
1,8908,1,1
0,7609,0,1
1,4014,1,0
1,3234,1,0
1,7332,1,1
0,9931,1,1
1,7803,0,1
1,3047,0,0
1,7884,1,1
1,7239,0,1
1,7798,1,1
0,8345,1,1
1,7880,1,1
0,7170,0,1
1,1319,0,0
1,7399,0,1
0,1400,0,0
0,2427,1,0
1,1967,0,0
1,7342,0,1
1,5844,0,0
1,7248,1,1
1,2895,0,0
1,3968,0,0
1,1452,0,0
1,4792,1,0
0,1158,1,0
0,8382,1,1
1,384,0,0
1,3066,0,0
1,4076,0,0
1,7004,0,1
0,8366,1,1
1,8002,1,1
0,8369,0,1
0,8680,1,1
1,8550,1,1
1,3245,1,0
1,9993,1,1
1,9358,1,1
1,2807,0,0
1,3740,0,0
0,7410,0,1
1,9979,1,1
1,7371,1,1
1,7747,1,1
1,7852,0,1
1,815,0,0
1,8760,0,1
1,8692,0,1
0,9513,0,1
1,7367,0,1
1,6166,0,0
1,7754,0,1
1,4126,0,0
1,4156,0,0
1,611,1,0
1,7404,1,1
1,7464,1,1
1,1225,1,0
1,2156,0,0
1,7595,1,1
1,4394,0,0
1,5180,0,0
1,391,0,0
1,1235,0,0
1,5604,0,0
1,1729,0,0
1,6713,0,0
1,1759,0,0
1,7123,1,1
1,8677,1,1
1,4483,1,0
0,8114,1,1
1,9839,1,1
1,2726,1,0
1,3381,0,0
1,9856,0,1
1,7763,1,1
1,3994,0,0
1,4591,0,0
1,1490,1,0
1,5650,0,0
1,4934,0,0
0,7771,1,1
0,7784,1,1
1,6696,0,0
1,8181,1,1
1,4333,1,0
1,7204,1,1
0,8719,1,1
